HTTrack3.49-2+htsswf+htsjava launched on Sat, 14 Jan 2023 12:28:48 at http://www.agadirdestination.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar +*http://www.agadirdestination.com/*
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f0#f -F  -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://www.agadirdestination.com/ -O1 "C:\My Web Sites\bbb" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar +*http://www.agadirdestination.com/* )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

13:50:24	Warning: 	file not stored in cache due to bogus state (broken size, expected 971678 got 956993): www.agadirdestination.com/library/images/Excursions/Tafraout_AgadirDestination.png
13:53:33	Error: 	"Not Found" (404) at link www.agadirdestination.com/css/skins/light-skin-5.png (from www.agadirdestination.com/css/masterslider.main.css?ver=2.29.0)
13:53:33	Error: 	"Not Found" (404) at link www.agadirdestination.com/css/skins/light-skin-5-retina.png (from www.agadirdestination.com/css/masterslider.main.css?ver=2.29.0)
13:53:33	Error: 	"Not Found" (404) at link www.agadirdestination.com/css/skins/light-skin-6.png (from www.agadirdestination.com/css/masterslider.main.css?ver=2.29.0)
13:53:33	Error: 	"Not Found" (404) at link www.agadirdestination.com/css/skins/light-skin-6-retina.png (from www.agadirdestination.com/css/masterslider.main.css?ver=2.29.0)
13:53:33	Error: 	"Not Found" (404) at link www.agadirdestination.com/css/skins/metro-skin.png (from www.agadirdestination.com/css/masterslider.main.css?ver=2.29.0)
13:53:33	Error: 	"Not Found" (404) at link www.agadirdestination.com/css/skins/metro-skin-retina.png (from www.agadirdestination.com/css/masterslider.main.css?ver=2.29.0)
13:53:33	Error: 	"Not Found" (404) at link www.agadirdestination.com/css/skins/contrast-skin.png (from www.agadirdestination.com/css/masterslider.main.css?ver=2.29.0)
13:53:33	Error: 	"Not Found" (404) at link www.agadirdestination.com/css/skins/contrast-skin-retina.png (from www.agadirdestination.com/css/masterslider.main.css?ver=2.29.0)
13:53:33	Error: 	"Not Found" (404) at link www.agadirdestination.com/css/templates/device-skin.png (from www.agadirdestination.com/css/masterslider.main.css?ver=2.29.0)
13:53:33	Error: 	"Not Found" (404) at link www.agadirdestination.com/css/templates/gallery-btns.png (from www.agadirdestination.com/css/masterslider.main.css?ver=2.29.0)
13:53:33	Error: 	"Not Found" (404) at link www.agadirdestination.com/css/templates/staff-arrows.png (from www.agadirdestination.com/css/masterslider.main.css?ver=2.29.0)
13:53:33	Error: 	"Not Found" (404) at link www.agadirdestination.com/css/templates/vertical-arrows.png (from www.agadirdestination.com/css/masterslider.main.css?ver=2.29.0)
13:53:33	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link www.willgoto.com/images/logo_1_120.gif (from www.agadirdestination.com/partenaires/index.html)
13:53:33	Warning: 	Retry after error -4 (Incorrect length (956993 Bytes, 971678 expected)) at link www.agadirdestination.com/library/images/Excursions/Tafraout_AgadirDestination.png (from www.agadirdestination.com/excursions/visite-tafraout-et-tiznit-excursion-tafraout-et-tiznit-agadir.html)
13:53:43	Error: 	"Unable to get server's address: unknown error" (-5) after 2 retries at link www.willgoto.com/images/logo_1_120.gif (from www.agadirdestination.com/partenaires/index.html)

HTTrack Website Copier/3.49-2 mirror complete in 1 hours 24 minutes 55 seconds : 716 links scanned, 669 files written (129647879 bytes overall) [126154137 bytes received at 24760 bytes/sec], 4671434 bytes transferred using HTTP compression in 105 files, ratio 19%, 1.0 requests per connection
(25 errors, 38 warnings, 0 messages)
